factory_id,hub_id,country_code,category_id,manufacturing_cost,transport_cost,hub_handling_cost,last_mile_cost,tariff_pct,tariff_amount,total_landed_cost,transit_days,max_lead_time_days,is_lead_time_feasible,is_geopolitically_restricted
F_CN_01,H_US_01,US,CAT01,104.38,10.98,3.92,0.64,0.3,31.31,151.23,47,24,0,1
F_CN_01,H_US_01,CA,CAT01,104.38,10.98,3.92,7.38,0.28,29.23,155.89,56,23,0,1
F_CN_01,H_US_01,MX,CAT01,104.38,10.98,3.92,2.17,0.1,10.44,131.89,49,35,0,0
F_CN_01,H_US_01,BR,CAT01,104.38,10.98,3.92,4.98,0.12,12.53,136.79,68,37,0,0
F_CN_01,H_US_01,AR,CAT01,104.38,10.98,3.92,5.9,0.12,12.53,137.71,73,37,0,0
F_CN_01,H_US_01,DE,CAT01,104.38,10.98,3.92,7.34,0.28,29.23,155.85,74,21,0,0
F_CN_01,H_US_01,GB,CAT01,104.38,10.98,3.92,5.41,0.25,26.09,150.78,70,21,0,0
F_CN_01,H_US_01,FR,CAT01,104.38,10.98,3.92,7.37,0.28,29.23,155.88,73,25,0,0
F_CN_01,H_US_01,AE,CAT01,104.38,10.98,3.92,11.1,0.05,5.22,135.6,89,39,0,0
F_CN_01,H_US_01,SA,CAT01,104.38,10.98,3.92,8.75,0.05,5.22,133.25,87,36,0,0
F_CN_01,H_US_01,ZA,CAT01,104.38,10.98,3.92,9.65,0.08,8.35,137.28,92,39,0,0
F_CN_01,H_US_01,CN,CAT01,104.38,10.98,3.92,8.61,0.0,0.0,127.89,86,35,0,1
F_CN_01,H_US_01,JP,CAT01,104.38,10.98,3.92,8.91,0.15,15.66,143.85,81,25,0,0
F_CN_01,H_US_01,KR,CAT01,104.38,10.98,3.92,9.97,0.05,5.22,134.47,83,23,0,0
F_CN_01,H_US_01,IN,CAT01,104.38,10.98,3.92,10.6,0.18,18.79,148.67,93,38,0,1
F_CN_01,H_US_01,VN,CAT01,104.38,10.98,3.92,12.84,0.08,8.35,140.47,93,36,0,0
F_CN_01,H_US_01,AU,CAT01,104.38,10.98,3.92,10.53,0.32,33.4,163.21,95,24,0,1
F_CN_01,H_CA_01,US,CAT01,104.38,11.84,3.88,6.81,0.3,31.31,158.22,44,24,0,1
F_CN_01,H_CA_01,CA,CAT01,104.38,11.84,3.88,1.89,0.28,29.23,151.22,40,23,0,1
F_CN_01,H_CA_01,MX,CAT01,104.38,11.84,3.88,6.63,0.1,10.44,137.17,49,35,0,0
F_CN_01,H_CA_01,BR,CAT01,104.38,11.84,3.88,5.95,0.12,12.53,138.58,62,37,0,0
F_CN_01,H_CA_01,AR,CAT01,104.38,11.84,3.88,8.16,0.12,12.53,140.79,69,37,0,0
F_CN_01,H_CA_01,DE,CAT01,104.38,11.84,3.88,4.4,0.28,29.23,153.73,60,21,0,0
F_CN_01,H_CA_01,GB,CAT01,104.38,11.84,3.88,4.55,0.25,26.09,150.74,56,21,0,0
F_CN_01,H_CA_01,FR,CAT01,104.38,11.84,3.88,4.44,0.28,29.23,153.77,59,25,0,0
F_CN_01,H_CA_01,AE,CAT01,104.38,11.84,3.88,8.94,0.05,5.22,134.26,75,39,0,0
F_CN_01,H_CA_01,SA,CAT01,104.38,11.84,3.88,9.11,0.05,5.22,134.43,73,36,0,0
F_CN_01,H_CA_01,ZA,CAT01,104.38,11.84,3.88,10.99,0.08,8.35,139.44,82,39,0,0
F_CN_01,H_CA_01,CN,CAT01,104.38,11.84,3.88,9.87,0.0,0.0,129.97,75,35,0,0
F_CN_01,H_CA_01,JP,CAT01,104.38,11.84,3.88,7.43,0.15,15.66,143.19,73,25,0,0
F_CN_01,H_CA_01,KR,CAT01,104.38,11.84,3.88,9.21,0.05,5.22,134.53,74,23,0,0
F_CN_01,H_CA_01,IN,CAT01,104.38,11.84,3.88,9.11,0.18,18.79,148.0,80,38,0,1
F_CN_01,H_CA_01,VN,CAT01,104.38,11.84,3.88,10.1,0.08,8.35,138.55,83,36,0,0
F_CN_01,H_CA_01,AU,CAT01,104.38,11.84,3.88,13.94,0.32,33.4,167.44,92,24,0,1
F_CN_01,H_MX_01,US,CAT01,104.38,11.14,1.6,7.88,0.3,31.31,156.31,50,24,0,1
F_CN_01,H_MX_01,CA,CAT01,104.38,11.14,1.6,5.67,0.28,29.23,152.02,57,23,0,1
F_CN_01,H_MX_01,MX,CAT01,104.38,11.14,1.6,0.58,0.1,10.44,128.14,45,35,0,0
F_CN_01,H_MX_01,BR,CAT01,104.38,11.14,1.6,5.28,0.12,12.53,134.93,65,37,0,0
F_CN_01,H_MX_01,AR,CAT01,104.38,11.14,1.6,5.12,0.12,12.53,134.77,68,37,0,0
F_CN_01,H_MX_01,DE,CAT01,104.38,11.14,1.6,8.58,0.28,29.23,154.93,75,21,0,0
F_CN_01,H_MX_01,GB,CAT01,104.38,11.14,1.6,7.3,0.25,26.09,150.51,72,21,0,0
F_CN_01,H_MX_01,FR,CAT01,104.38,11.14,1.6,6.71,0.28,29.23,153.06,74,25,0,0
F_CN_01,H_MX_01,AE,CAT01,104.38,11.14,1.6,10.12,0.05,5.22,132.46,91,39,0,0
F_CN_01,H_MX_01,SA,CAT01,104.38,11.14,1.6,10.01,0.05,5.22,132.35,89,36,0,0
F_CN_01,H_MX_01,ZA,CAT01,104.38,11.14,1.6,12.91,0.08,8.35,138.38,90,39,0,0
F_CN_01,H_MX_01,CN,CAT01,104.38,11.14,1.6,10.58,0.0,0.0,127.7,88,35,0,0
F_CN_01,H_MX_01,JP,CAT01,104.38,11.14,1.6,9.88,0.15,15.66,142.66,81,25,0,0
F_CN_01,H_MX_01,KR,CAT01,104.38,11.14,1.6,10.1,0.05,5.22,132.44,83,23,0,0
F_CN_01,H_MX_01,IN,CAT01,104.38,11.14,1.6,12.72,0.18,18.79,148.63,95,38,0,1
F_CN_01,H_MX_01,VN,CAT01,104.38,11.14,1.6,10.89,0.08,8.35,136.36,94,36,0,0
F_CN_01,H_MX_01,AU,CAT01,104.38,11.14,1.6,13.21,0.32,33.4,163.73,91,24,0,1
F_CN_01,H_BR_01,US,CAT01,104.38,14.19,2.84,6.38,0.3,31.31,159.1,86,24,0,1
F_CN_01,H_BR_01,CA,CAT01,104.38,14.19,2.84,8.58,0.28,29.23,159.22,92,23,0,1
F_CN_01,H_BR_01,MX,CAT01,104.38,14.19,2.84,6.78,0.1,10.44,138.63,84,35,0,0
F_CN_01,H_BR_01,BR,CAT01,104.38,14.19,2.84,1.47,0.12,12.53,135.41,59,37,0,0
F_CN_01,H_BR_01,AR,CAT01,104.38,14.19,2.84,7.64,0.12,12.53,141.58,65,37,0,0
F_CN_01,H_BR_01,DE,CAT01,104.38,14.19,2.84,7.16,0.28,29.23,157.8,91,21,0,0
F_CN_01,H_BR_01,GB,CAT01,104.38,14.19,2.84,7.77,0.25,26.09,155.27,89,21,0,0
F_CN_01,H_BR_01,FR,CAT01,104.38,14.19,2.84,7.14,0.28,29.23,157.78,88,25,0,0
F_CN_01,H_BR_01,AE,CAT01,104.38,14.19,2.84,9.55,0.05,5.22,136.18,97,39,0,0
F_CN_01,H_BR_01,SA,CAT01,104.38,14.19,2.84,7.94,0.05,5.22,134.57,94,36,0,0
F_CN_01,H_BR_01,ZA,CAT01,104.38,14.19,2.84,4.86,0.08,8.35,134.62,80,39,0,0
F_CN_01,H_BR_01,CN,CAT01,104.38,14.19,2.84,12.62,0.0,0.0,134.03,113,35,0,0
F_CN_01,H_BR_01,JP,CAT01,104.38,14.19,2.84,13.96,0.15,15.66,151.03,118,25,0,0
F_CN_01,H_BR_01,KR,CAT01,104.38,14.19,2.84,14.51,0.05,5.22,141.14,118,23,0,0
F_CN_01,H_BR_01,IN,CAT01,104.38,14.19,2.84,11.93,0.18,18.79,152.13,105,38,0,1
F_CN_01,H_BR_01,VN,CAT01,104.38,14.19,2.84,14.3,0.08,8.35,144.06,114,36,0,0
F_CN_01,H_BR_01,AU,CAT01,104.38,14.19,2.84,11.36,0.32,33.4,166.17,105,24,0,1
F_CN_01,H_DE_01,US,CAT01,104.38,7.11,4.56,6.09,0.3,31.31,153.45,55,24,0,1
F_CN_01,H_DE_01,CA,CAT01,104.38,7.11,4.56,4.96,0.28,29.23,150.24,52,23,0,1
F_CN_01,H_DE_01,MX,CAT01,104.38,7.11,4.56,7.72,0.1,10.44,134.21,61,35,0,0
F_CN_01,H_DE_01,BR,CAT01,104.38,7.11,4.56,7.01,0.12,12.53,135.59,60,37,0,0
F_CN_01,H_DE_01,AR,CAT01,104.38,7.11,4.56,8.34,0.12,12.53,136.92,69,37,0,0
F_CN_01,H_DE_01,DE,CAT01,104.38,7.11,4.56,1.13,0.28,29.23,146.41,31,21,0,0
F_CN_01,H_DE_01,GB,CAT01,104.38,7.11,4.56,4.84,0.25,26.09,146.98,33,21,0,0
F_CN_01,H_DE_01,FR,CAT01,104.38,7.11,4.56,3.35,0.28,29.23,148.63,32,25,0,0
F_CN_01,H_DE_01,AE,CAT01,104.38,7.11,4.56,5.11,0.05,5.22,126.38,46,39,0,0
F_CN_01,H_DE_01,SA,CAT01,104.38,7.11,4.56,5.1,0.05,5.22,126.37,44,36,0,0
F_CN_01,H_DE_01,ZA,CAT01,104.38,7.11,4.56,7.7,0.08,8.35,132.1,60,39,0,0
F_CN_01,H_DE_01,CN,CAT01,104.38,7.11,4.56,6.17,0.0,0.0,122.22,54,35,0,0
F_CN_01,H_DE_01,JP,CAT01,104.38,7.11,4.56,7.71,0.15,15.66,139.42,60,25,0,0
F_CN_01,H_DE_01,KR,CAT01,104.38,7.11,4.56,6.61,0.05,5.22,127.88,58,23,0,0
F_CN_01,H_DE_01,IN,CAT01,104.38,7.11,4.56,5.97,0.18,18.79,140.81,52,38,0,1
F_CN_01,H_DE_01,VN,CAT01,104.38,7.11,4.56,7.7,0.08,8.35,132.1,61,36,0,0
F_CN_01,H_DE_01,AU,CAT01,104.38,7.11,4.56,11.45,0.32,33.4,160.9,77,24,0,1
F_CN_01,H_GB_01,US,CAT01,104.38,7.36,3.22,5.99,0.3,31.31,152.26,52,24,0,1
F_CN_01,H_GB_01,CA,CAT01,104.38,7.36,3.22,4.81,0.28,29.23,149.0,49,23,0,1
F_CN_01,H_GB_01,MX,CAT01,104.38,7.36,3.22,7.05,0.1,10.44,132.45,58,35,0,0
F_CN_01,H_GB_01,BR,CAT01,104.38,7.36,3.22,7.58,0.12,12.53,135.07,58,37,0,0
F_CN_01,H_GB_01,AR,CAT01,104.38,7.36,3.22,10.48,0.12,12.53,137.97,67,37,0,0
F_CN_01,H_GB_01,DE,CAT01,104.38,7.36,3.22,7.53,0.28,29.23,151.72,31,21,0,0
F_CN_01,H_GB_01,GB,CAT01,104.38,7.36,3.22,1.26,0.25,26.09,142.31,30,21,0,0
F_CN_01,H_GB_01,FR,CAT01,104.38,7.36,3.22,5.12,0.28,29.23,149.31,31,25,0,0
F_CN_01,H_GB_01,AE,CAT01,104.38,7.36,3.22,5.45,0.05,5.22,125.63,47,39,0,0
F_CN_01,H_GB_01,SA,CAT01,104.38,7.36,3.22,4.72,0.05,5.22,124.9,45,36,0,0
F_CN_01,H_GB_01,ZA,CAT01,104.38,7.36,3.22,8.28,0.08,8.35,131.59,60,39,0,0
F_CN_01,H_GB_01,CN,CAT01,104.38,7.36,3.22,6.26,0.0,0.0,121.22,54,35,0,0
F_CN_01,H_GB_01,JP,CAT01,104.38,7.36,3.22,6.69,0.15,15.66,137.31,60,25,0,0
F_CN_01,H_GB_01,KR,CAT01,104.38,7.36,3.22,6.31,0.05,5.22,126.49,58,23,0,0
F_CN_01,H_GB_01,IN,CAT01,104.38,7.36,3.22,6.6,0.18,18.79,140.35,53,38,0,1
F_CN_01,H_GB_01,VN,CAT01,104.38,7.36,3.22,6.94,0.08,8.35,130.25,62,36,0,0
F_CN_01,H_GB_01,AU,CAT01,104.38,7.36,3.22,11.34,0.32,33.4,159.7,78,24,0,1
F_CN_01,H_AE_01,US,CAT01,104.38,4.7,2.99,9.47,0.3,31.31,152.85,61,24,0,1
F_CN_01,H_AE_01,CA,CAT01,104.38,4.7,2.99,7.8,0.28,29.23,149.1,56,23,0,1
F_CN_01,H_AE_01,MX,CAT01,104.38,4.7,2.99,10.64,0.1,10.44,133.15,67,35,0,0
F_CN_01,H_AE_01,BR,CAT01,104.38,4.7,2.99,10.63,0.12,12.53,135.23,61,37,0,0
F_CN_01,H_AE_01,AR,CAT01,104.38,4.7,2.99,9.68,0.12,12.53,134.28,67,37,0,0
F_CN_01,H_AE_01,DE,CAT01,104.38,4.7,2.99,5.49,0.28,29.23,146.79,36,21,0,0
F_CN_01,H_AE_01,GB,CAT01,104.38,4.7,2.99,5.53,0.25,26.09,143.69,40,21,0,0
F_CN_01,H_AE_01,FR,CAT01,104.38,4.7,2.99,4.81,0.28,29.23,146.11,38,25,0,0
F_CN_01,H_AE_01,AE,CAT01,104.38,4.7,2.99,0.73,0.05,5.22,118.02,22,39,1,0
F_CN_01,H_AE_01,SA,CAT01,104.38,4.7,2.99,5.61,0.05,5.22,122.9,24,36,1,0
F_CN_01,H_AE_01,ZA,CAT01,104.38,4.7,2.99,2.72,0.08,8.35,123.14,44,39,0,0
F_CN_01,H_AE_01,CN,CAT01,104.38,4.7,2.99,4.8,0.0,0.0,116.87,37,35,0,0
F_CN_01,H_AE_01,JP,CAT01,104.38,4.7,2.99,7.09,0.15,15.66,134.82,46,25,0,0
F_CN_01,H_AE_01,KR,CAT01,104.38,4.7,2.99,6.33,0.05,5.22,123.62,43,23,0,0
F_CN_01,H_AE_01,IN,CAT01,104.38,4.7,2.99,5.41,0.18,18.79,136.27,29,38,1,1
F_CN_01,H_AE_01,VN,CAT01,104.38,4.7,2.99,4.72,0.08,8.35,125.14,39,36,0,0
F_CN_01,H_AE_01,AU,CAT01,104.38,4.7,2.99,8.56,0.32,33.4,154.03,54,24,0,1
F_CN_01,H_ZA_01,US,CAT01,104.38,9.4,2.76,12.43,0.3,31.31,160.28,81,24,0,1
F_CN_01,H_ZA_01,CA,CAT01,104.38,9.4,2.76,11.67,0.28,29.23,157.44,82,23,0,1
F_CN_01,H_ZA_01,MX,CAT01,104.38,9.4,2.76,12.55,0.1,10.44,139.53,82,35,0,0
F_CN_01,H_ZA_01,BR,CAT01,104.38,9.4,2.76,5.69,0.12,12.53,134.76,60,37,0,0
F_CN_01,H_ZA_01,AR,CAT01,104.38,9.4,2.76,6.11,0.12,12.53,135.18,60,37,0,0
F_CN_01,H_ZA_01,DE,CAT01,104.38,9.4,2.76,7.07,0.28,29.23,152.84,62,21,0,0
F_CN_01,H_ZA_01,GB,CAT01,104.38,9.4,2.76,6.87,0.25,26.09,149.5,64,21,0,0
F_CN_01,H_ZA_01,FR,CAT01,104.38,9.4,2.76,6.09,0.28,29.23,151.86,61,25,0,0
F_CN_01,H_ZA_01,AE,CAT01,104.38,9.4,2.76,7.02,0.05,5.22,128.78,53,39,0,0
F_CN_01,H_ZA_01,SA,CAT01,104.38,9.4,2.76,7.93,0.05,5.22,129.69,52,36,0,0
F_CN_01,H_ZA_01,ZA,CAT01,104.38,9.4,2.76,1.33,0.08,8.35,126.22,34,39,1,0
F_CN_01,H_ZA_01,CN,CAT01,104.38,9.4,2.76,9.3,0.0,0.0,125.84,67,35,0,0
F_CN_01,H_ZA_01,JP,CAT01,104.38,9.4,2.76,12.32,0.15,15.66,144.52,77,25,0,0
F_CN_01,H_ZA_01,KR,CAT01,104.38,9.4,2.76,8.93,0.05,5.22,130.69,74,23,0,0
F_CN_01,H_ZA_01,IN,CAT01,104.38,9.4,2.76,5.96,0.18,18.79,141.29,58,38,0,1
F_CN_01,H_ZA_01,VN,CAT01,104.38,9.4,2.76,7.55,0.08,8.35,132.44,65,36,0,0
F_CN_01,H_ZA_01,AU,CAT01,104.38,9.4,2.76,7.14,0.32,33.4,157.08,66,24,0,1
F_CN_01,H_CN_01,US,CAT01,104.38,1.09,1.57,9.9,0.3,31.31,148.25,41,24,0,1
F_CN_01,H_CN_01,CA,CAT01,104.38,1.09,1.57,7.29,0.28,29.23,143.56,34,23,0,1
F_CN_01,H_CN_01,MX,CAT01,104.38,1.09,1.57,9.77,0.1,10.44,127.25,44,35,0,0
F_CN_01,H_CN_01,BR,CAT01,104.38,1.09,1.57,12.9,0.12,12.53,132.47,63,37,0,0
F_CN_01,H_CN_01,AR,CAT01,104.38,1.09,1.57,13.56,0.12,12.53,133.13,66,37,0,0
F_CN_01,H_CN_01,DE,CAT01,104.38,1.09,1.57,7.76,0.28,29.23,144.03,32,21,0,0
F_CN_01,H_CN_01,GB,CAT01,104.38,1.09,1.57,6.26,0.25,26.09,139.39,33,21,0,0
F_CN_01,H_CN_01,FR,CAT01,104.38,1.09,1.57,6.96,0.28,29.23,143.23,35,25,0,0
F_CN_01,H_CN_01,AE,CAT01,104.38,1.09,1.57,4.98,0.05,5.22,117.24,26,39,1,0
F_CN_01,H_CN_01,SA,CAT01,104.38,1.09,1.57,5.92,0.05,5.22,118.18,28,36,1,0
F_CN_01,H_CN_01,ZA,CAT01,104.38,1.09,1.57,10.21,0.08,8.35,125.6,44,39,0,0
F_CN_01,H_CN_01,CN,CAT01,104.38,1.09,1.57,1.24,0.0,0.0,108.28,5,35,1,0
F_CN_01,H_CN_01,JP,CAT01,104.38,1.09,1.57,2.5,0.15,15.66,125.2,9,25,1,1
F_CN_01,H_CN_01,KR,CAT01,104.38,1.09,1.57,3.46,0.05,5.22,115.72,7,23,1,0
F_CN_01,H_CN_01,IN,CAT01,104.38,1.09,1.57,5.52,0.18,18.79,131.35,18,38,1,1
F_CN_01,H_CN_01,VN,CAT01,104.38,1.09,1.57,5.21,0.08,8.35,120.6,12,36,1,0
F_CN_01,H_CN_01,AU,CAT01,104.38,1.09,1.57,5.36,0.32,33.4,145.8,25,24,0,1
F_CN_01,H_JP_01,US,CAT01,104.38,2.4,4.67,8.5,0.3,31.31,151.26,42,24,0,1
F_CN_01,H_JP_01,CA,CAT01,104.38,2.4,4.67,6.96,0.28,29.23,147.64,35,23,0,1
F_CN_01,H_JP_01,MX,CAT01,104.38,2.4,4.67,7.44,0.1,10.44,129.33,44,35,0,0
F_CN_01,H_JP_01,BR,CAT01,104.38,2.4,4.67,13.34,0.12,12.53,137.32,65,37,0,0
F_CN_01,H_JP_01,AR,CAT01,104.38,2.4,4.67,14.51,0.12,12.53,138.49,67,37,0,0
F_CN_01,H_JP_01,DE,CAT01,104.38,2.4,4.67,6.98,0.28,29.23,147.66,39,21,0,0
F_CN_01,H_JP_01,GB,CAT01,104.38,2.4,4.67,8.21,0.25,26.09,145.75,39,21,0,0
F_CN_01,H_JP_01,FR,CAT01,104.38,2.4,4.67,7.93,0.28,29.23,148.61,41,25,0,0
F_CN_01,H_JP_01,AE,CAT01,104.38,2.4,4.67,7.05,0.05,5.22,123.72,36,39,1,0
F_CN_01,H_JP_01,SA,CAT01,104.38,2.4,4.67,7.85,0.05,5.22,124.52,38,36,0,0
F_CN_01,H_JP_01,ZA,CAT01,104.38,2.4,4.67,11.38,0.08,8.35,131.18,55,39,0,0
F_CN_01,H_JP_01,CN,CAT01,104.38,2.4,4.67,7.46,0.0,0.0,118.91,19,35,1,0
F_CN_01,H_JP_01,JP,CAT01,104.38,2.4,4.67,1.38,0.15,15.66,128.49,10,25,1,0
F_CN_01,H_JP_01,KR,CAT01,104.38,2.4,4.67,7.1,0.05,5.22,123.77,12,23,1,0
F_CN_01,H_JP_01,IN,CAT01,104.38,2.4,4.67,4.76,0.18,18.79,135.0,29,38,1,1
F_CN_01,H_JP_01,VN,CAT01,104.38,2.4,4.67,5.0,0.08,8.35,124.8,22,36,1,0
F_CN_01,H_JP_01,AU,CAT01,104.38,2.4,4.67,5.5,0.32,33.4,150.35,31,24,0,1
F_CN_01,H_KR_01,US,CAT01,104.38,1.66,3.21,7.58,0.3,31.31,148.14,42,24,0,1
